"category_id","category_image","category_parent_id","category_publish","category_ordertype","category_template","ordering","category_add_date","products_page","products_row","access","name_en-GB","alias_en-GB","short_description_en-GB","description_en-GB","meta_title_en-GB","meta_description_en-GB","meta_keyword_en-GB","name_hr-HR","alias_hr-HR","short_description_hr-HR","description_hr-HR","meta_title_hr-HR","meta_description_hr-HR","meta_keyword_hr-HR","catalog","name_de-DE","alias_de-DE","short_description_de-DE","description_de-DE","meta_title_de-DE","meta_description_de-DE","meta_keyword_de-DE"
"1","rostilji-pecenjare-bmb.jpg","0","1","1","default","76","2013-08-07 10:10:50","50","2","1","Barbecues","barbecues",,,,,,"Roštilji i pečenjare","vrtni-rostilji-i-pecenjare",,,"BMB - Vrtni roštilji | Vrtni kamini | Vrtne pečenjare","BMB vrtni roštilji i vrtne pečenjare. Šamotni roštilji i betnoski kamini","kamini,roštilji,pečenjare,vrtne pečenjare,mali roštilji,šamotni kamini,šamotni roštilji,velike pečenjare,peke,krušne peći,vatrootproni kamini,kamin za vrt,oprema za roštiljanje","1","Griller","griller",,,,,
"3","thumb_1500pjes.jpg","1","1","1","default","117","2013-08-19 13:10:30","50","2","1",,,,,,,,"Pečenjare","pecenjare",,,"Vrtne pečenjare od vrhunskih prirodnih materijala.","Veliki izbor BMB vrtnih pečenjara.","pečenjara,vrtna pečenjara,vrtne pečenjare,pečenjare od cigle,veliki kamin,pečenjare od kamena,veliki roštilji,pečenjare sa šamotom,roštilji od šamota","1","Große Bräter (Drehspiesgriller)","grosse-braeter-drehspiesgriller",,,,,
"6","thumb_tera1.jpg","1","1","1","default","83","2013-08-19 13:12:55","50","2","1",,,,,,,,"Mini pečenjare","mini-pecenjare",,,"Mini pečenjare BMB su veći roštilji","Pečenjare u kojima možete raditi peku,roštilji i pripremati meso na ražjnu","mini pečenjara,modeli za peku,šamotni kamini,radni stolovi,dodatne radne površine,granit,kamen,cigla","1","Kleine Bräter (Drehspiesgriller)","kleine-braeter-drehspiesgriller",,,,,
"9","thumb_505-sabella.jpg","1","1","1","default","67","2013-08-19 13:15:13","50","2","1","Bar","bar",,,,,,"Roštilji","rostilji",,,"Vrtni roštilji - ložišta do 65 cm","Kvalitetni vrtni roštilji za obiteljsko druženje","manji roštilji,roštilj na terasi,kamini za vrt,šamot,bmb kamini","0","Gartengriller (klein)","gartengriller-klein",,,,,
"84","krusnepecei.jpg","0","1","1","default","353","2017-10-27 08:53:49","50","2","1",,,,,,,,"Krušne peći",,,,,,,"0","Pizza Ofen","pizza-ofen",,,,,
"86","samotneplocice1.jpg","0","1","1","default","356","2017-10-27 11:12:37","50","2","1",,,,,,,,"Ostalo",,,,,,,"0","andere Produkte","andere-produkte",,,,,
"11","1-10-00.jpg","84","1","1","default","11","2013-08-19 14:04:01","50","2","1",,,,,,,,"Krušne peći Profi","krusne-peci",,"<p>BMB krušne peći izrađene su u cijelost od <strong>BMB FB06 </strong>- vatrootpornog cementa. Specijalni materijal posebno konstruiran</p>
<p>za izradu krušnih peći te podnosi temperaturu do <strong>1400<span style=""color: #333333; font-family: open-sans, sans-serif; font-size: 14px;"">°C.</span></strong></p>
<p>&nbsp;</p>","Krušne peći od vatrootpornog cementa","Krušne peći za picu. Izrađene od calcium crnog cementa","krušna peć,krušna peč,krušne peći,dijelovi za krušnu peć,šamotni materijali za krušnu peć","1","Brot/Pizza- Backofen","brot-pizza-backofen",,,,,
"88","paella.jpg","12","1","1","default","32","2020-09-29 12:42:29","50","2","1","Serija Salsa","serija-salsa",,,,,,"800 - Paella Imitacija cigle 22x5","paella-imitacija-cigle","<hr>
<strong>Dostupne boje: </strong><br>
<strong>800C</strong> - Crvena <br>
<strong>800CP</strong> - Crvena + patina <br>
<strong>800B</strong> - Bijela <br>
<strong>800BP</strong> - Bijela + patina <br>
<strong>800W</strong> - White <br>
<strong>800WP</strong> - White + patina <br>",,,,,"0","800 Imitacija cigle 22x5","800-imitacija-cigle-22x5",,,,,
"66","aus-kam1.jpg","33","1","1","default","46","2015-05-23 10:15:45","50","2","1",,,,,,,,"Ložišta na drva Austroflamm","lozista-austroflamm",,"<div>&nbsp;</div>
<div style=""text-align: center;""><span style=""font-size: 12pt;""><br />Poštovani kupci!<br /><br /></span></div>
<div style=""text-align: center;""><span style=""font-size: 12pt;"">Informacije o unutarnjim kaminima pogledajte na novoj <br />web stranici Another Way&nbsp;</span></div>
<p>&nbsp;</p>
<div style=""text-align: center;""><span style=""font-size: 12pt;""><strong><a href=""https://another-way.eu/hr/"">https://another-way.eu/hr/</a><a href=""https://another-way.eu/hr/""></a></strong></span></div>
<p>&nbsp;</p>
<p><a href=""https://another-way.eu/hr/""><img src=""images/logo/another-way-logo-r.png"" alt=""another way logo r"" style=""display: block; margin-left: auto; margin-right: auto;"" /></a></p>
<div style=""text-align: center;"">&nbsp;</div>",,,,"1","Kamineinsätze Austroflamm","kamineinsaetze-austroflamm",,,,,
"12","dekorativne-obloge_bmb.jpg","0","1","1","default","293","2013-08-19 20:46:10","50","2","1",,,,,,,,"Dekorativne obloge","dekorativne-obloge",,"<h2><span style=""font-size: 13px;"">Sve obloge se izrađuju - proizvode u:</span></h2>
<div>
<table style=""height: 183px; width: 525px;"">
<thead>
<tr><th align=""left"">Naziv</th><th align=""center"">Legenda</th><th align=""center"">Cijena po m2 kn</th><th align=""center"">Cijena po m2 EUR</th></tr>
</thead>
<tbody>
<tr>
<td align=""left"">Sivi cement</td>
<td align=""center"">S</td>
<td align=""center"">226,04</td>
<td align=""center"">30</td>
</tr>
<tr>
<td align=""left"">Sivi cem + patina</td>
<td align=""center"">SP</td>
<td align=""center"">263,70</td>
<td align=""center"">35</td>
</tr>
<tr>
<td align=""left"">Crveni cement</td>
<td align=""center"">C</td>
<td align=""center"">241,10</td>
<td align=""center"">32</td>
</tr>
<tr>
<td align=""left"">Crveni cem + patina</td>
<td align=""center"">CP</td>
<td align=""center"">278,77</td>
<td align=""center"">37</td>
</tr>
<tr>
<td align=""left"">Bijeli cement</td>
<td align=""center"">B</td>
<td align=""center"">263,70</td>
<td align=""center"">35</td>
</tr>
<tr>
<td align=""left"">Bijeli cem + patina</td>
<td align=""center"">BP</td>
<td align=""center"">301,38</td>
<td align=""center"">40</td>
</tr>
<tr>
<td align=""left"">White cement</td>
<td align=""center"">W</td>
<td align=""center"">263,70</td>
<td align=""center"">35</td>
</tr>
<tr>
<td align=""left"">White cem + patina</td>
<td align=""center"">WP</td>
<td align=""center"">301,38</td>
<td align=""center"">40</td>
</tr>
</tbody>
</table>
<br />
<p><strong>PDV</strong> je izračunat u cijenu proizvoda</p>
</div>
<hr />","Dekorativne obloge - Umjetni kamen - Rustikalni kamen","BMB Obloge za uređenje interijera i eksterijera. Umjetni kamen izrađen od vrhunskih materijala. Dekorativni kamen","deko obloga,umjetni kamen,dekorativna obloga,imitacija kamena,moderna obloga,kamena obloga,dekoraivna obloga,rustikalni kamen,kamen dizajn","1","Dekor-Steinverkleidungen","dekor-steinverkleidungen",,"[widgetkit id=53]",,,
"49","patuljci.jpg","22","0","1","default","44","2013-10-29 12:44:06","50","2","1",,,,,,,,"Patuljci","patuljci",,,"Betonski patuljci i snjeguljica","Razni betonski patuljci i snjeguljica","patuljak,patuljci,snjeguljica,vrtni patuljak,vrtni patuljci","1","Zwerge / Schneewittchen","zwerge-schneewittchen",,,,,
"22","uredenje-okolisa-bmb.jpg","0","1","1","default","332","2013-08-20 10:57:42","50","2","1",,,,,,,,"Uređenje okoliša","uredenje-okolisa",,,"Uređenje okoliša","Razni betosnki proizvodi za uređenje okoliša","žardinjere,fontane,vrtne figure,vrtne statue,zdenčeki,bunar,sudoper,škarpni elementi,patuljci,stolovi i klupe,stalci za suncobrane,ostali betonski elementi","1","Landschaftsbau (Garten)","landschaftsbau-garten",,,,,
"23","ZARDINJERE.jpg","22","1","1","default","8","2013-08-20 10:59:03","50","2","1",,,,,,,,"Žardinjere","zardinjere",,,"BMB - Žardinjere | Vrtne žardinjere | Vrtne vaze | Betonske žardinjere","BMB žardinjere izrađene iz vrhunskih kalupa. Velike i male žardinjere. Kulirne žardinjere sa različitom strukturom.","žardinjere,žardinjera,vaza,betonska vaza,betonska žardinjera,žardinjere za gradove i općine,uređenje parkova,uređenje trerasa,kulir,bijeli cement,rustikalne žardinjere,moderne žardinjere,žardinjere sa klupom i ogradom","1","Betonvasen","betonvasen",,,,,
"24","fontane.jpg","22","1","1","default","15","2013-08-20 10:59:53","50","2","1",,,,,,,,"Fontane","fontane",,,"BMB Vrtne fontane od bijelog cementa","Razne vrtne fontane na vodu izrađene od Holcim bijelog cementa sa završnom patinom","fontana,fontane,betonske fontane,mini fontane,velike i male fontane,pumpice za vodu","1","Gartenbrunnen / Springbrunnen","gartenbrunnen-springbrunnen",,,,,
"25","statue.jpg","22","1","1","default","20","2013-08-20 11:00:22","50","2","1",,,,,,,,"Vrtne figure i statue","vrtne-figure-i-statue",,,"Vrtne figure,statue i razne životinje od betona","Proizvodi za uređenje vrtova i parkova. Različiti kipovi i statue od betona,","statue,statue,betonski kipovi,kip,bijeli cement,baza,betonske baze,pajcek,puž,pantera,mačka,vjeverica,ptice","1","Gartenfiguren","gartenfiguren",,,,,
"26","cvjetni-elementi.jpg","22","1","1","default","35","2013-08-20 11:01:29","50","2","1",,,,,,,,"Škarpni elementi","skarpni-elementi",,,"Škarpni elementi - cvjetni betonski elementi","Uređujete škarpu treba vam betonski cvjetni element. Razni oblici cvjetnih elemenata - okrugli,pravokutni,kvadratni.","cvjetni element,škarpa,betonski cvjetni elementi,škarpni elementi","1","Pflanzring / Varioverbund-Pflanzstein","pflanzring-varioverbund-pflanzstein",,,,,
"27","rubnjaci-kanalice-oplocnici.jpg","50","1","1","default","13","2013-08-20 11:02:06","50","2","1",,,,,,,,"Rubnjaci, kanalice i opločnici","rubnjaci-kanalice-i-oplocnici",,,"Rubnjaci kanalice i opločnici","Betonski rubnjaci i ivičnjaci. Razne kanalice za vodu","rubnjak,ivičnjak,rubnjaci,ivičnjaci,betonski rubnjaci,betonski ivičnjaci,kanalica za vodu,kanalica sa rešetkom,betonska kanalica","1","Betonrinne / Bordsteine","betonrinne-bordsteine",,,,,
"28","uglovni-elementi.jpg","50","1","1","default","41","2013-08-20 11:07:09","50","2","1",,,,,,,,"Uglovni elementi","uglovni-elementi",,,"Uglovni elemetni za zidanje","Uglovni elementi - čoškaši","elemtn sa rupom,uglvni element,čoškaš","1","Beton block","beton-block",,,,,
